"ID","x","y"
126,64.29,758.992941176471
127,117.86,702.702702702703
128,90,777.138823529412
129,197.14,737.477647058824
130,53.57,755.177805800757
131,217.14,665.543529411765
132,245,680.373923739237
133,185,693.080291970803
134,15.71,743.696078431373
135,214.29,742.5664160401
136,107.14,716.934487021014
137,32.14,711.256470588235
138,165.71,710.345864661654
139,235,726.72
140,282.86,604.367058823529
141,147.86,696.932515337423
142,110,665.980676328502
143,106.43,737.78590078329
144,221.43,750.363636363636
145,192.86,754.193211488251
146,119.29,742.861538461538
147,292.86,703.246376811594
148,129.29,685.044705882353
149,172.86,669.581176470588
150,172.14,732.877323420074
151,104.29,729.113553113553
152,164.450596285435,782.827586206897
153,217.86,730.08
154,209.29,689.072941176471
155,103.57,764.102564102564
156,184.29,736.60024600246
157,80,755.17908496732
158,150.71,752.857530529172
159,252.14,660.442211055276
160,289.29,715.548795944233
161,137.948290766208,731.43
162,154.29,704.536470588235
163,178.57,705.922789539228
164,98.57,672.272941176471
165,187.86,713.948235294118
166,37.9155403422983,770.437810945274
167,167.14,720.618504435995
168,77.14,667.77691309987
169,215,701.1072319202
170,193.57,692.131868131868
171,317.14,710.798459563543
172,20,728.021080368906
173,217.14,728.443857331572
174,300.71,738.693467336683
175,38.57,782.50406504065
176,158.57,783.875881523272
177,280,763.361430395913
178,274.777518391368,771.466314398943
179,283.57,669.581176470588
180,322.86,718.404015056462
181,137.86,746.221176470588
182,292.14,695.802352941176
183,378.57,719.331764705882
184,91.43,717.308235294118
185,372.14,670.927058823529
186,301.43,590.249411764706
187,209.29,672.187422934649
188,348.57,549.92
189,435,652.103529411765
190,105,615.124705882353
191,310.71,574.117647058824
192,222.14,553.948235294118
193,237.14,617.138823529412
194,307.86,550.588235294118
195,189.29,573.449411764706
196,252.86,692.432941176471
197,294.29,631.934117647059
198,320,613.778823529412
199,351.43,683.021176470588
200,172.86,570.757647058823
201,182.14,632.602352941176
202,250.71,667.567058823529
203,302.14,626.550588235294
204,270,594.955294117647
205,321.43,666.221176470588
206,262.86,599.661176470588
207,330,682.352941176471
208,350.71,554.625882352941
209,64.29,713.948235294118
