"ID","Date","Time","x","y"
"29",2020-04-06,"Evening",1226.000384,76.04936
"30",2020-04-07,"Noon",1263.499264,61.23456
"30",2020-04-07,"Noon",1095.499776,428.6416
"30",2020-04-07,"Noon",1322.000384,66.66664
"30",2020-04-07,"Noon",1315.500032,21.7284
"30",2020-04-07,"Noon",1275.500544,22.22224
"30",2020-04-07,"Noon",1219.500032,57.77776
"30",2020-04-07,"Noon",1201.50016,524.4448
"30",2020-04-07,"Noon",1206.499328,42.46912
"30",2020-04-07,"Noon",1087.000576,530.864
"30",2020-04-07,"Noon",855.5008,531.852
"31",2020-04-07,"Evening",1329.50016,203.9504
"31",2020-04-07,"Evening",1207.5008,18.2716
"31",2020-04-07,"Evening",1172.000768,419.7528
"31",2020-04-07,"Evening",1166.999552,174.8152
"32",2020-04-08,"Noon",1080.000512,174.8152
"32",2020-04-08,"Noon",1283.500032,46.9136
"32",2020-04-08,"Noon",1231.499264,45.92592
"32",2020-04-08,"Noon",966.00064,214.3208
"33",2020-04-08,"Evening",1357.500416,11.85184
"33",2020-04-08,"Evening",1381.500928,13.8272
"33",2020-04-08,"Evening",1471.000576,292.3456
"33",2020-04-08,"Evening",1312.999424,26.66664
"33",2020-04-08,"Evening",1126.500352,307.6544
"33",2020-04-08,"Evening",1329.50016,26.17288
"33",2020-04-08,"Evening",1274.499072,333.3336
"34",2020-04-09,"Noon",1146.499072,13.28224
"34",2020-04-09,"Noon",1241.499648,244.1888
"34",2020-04-09,"Noon",1156.499456,53.12896
"34",2020-04-09,"Noon",1280,400
"34",2020-04-09,"Noon",1220.499456,239.5912
"34",2020-04-09,"Noon",1234.499584,46.48784
"34",2020-04-09,"Noon",1237.999616,103.1928
"34",2020-04-09,"Noon",1243.500544,146.1048
"34",2020-04-09,"Noon",1127.499776,81.7368
"34",2020-04-09,"Noon",579.00032,296.8072
"34",2020-04-09,"Noon",1213.999104,322.3496
"34",2020-04-09,"Noon",601.99936,280.9704
"34",2020-04-09,"Noon",991.000576,629.8848
"34",2020-04-09,"Noon",1070.49984,582.8864
"35",2020-04-09,"Evening",1135.499264,52.83952
"35",2020-04-09,"Evening",1241.499648,19.25928
"35",2020-04-09,"Evening",1272.500224,14.32096
"35",2020-04-09,"Evening",1330.499584,17.77776
"35",2020-04-09,"Evening",1184.999424,58.76544
"35",2020-04-09,"Evening",1262.49984,59.75312
"35",2020-04-09,"Evening",1255.499776,59.25928
"35",2020-04-09,"Evening",1169.50016,53.33336
"35",2020-04-09,"Evening",1120.999424,385.6792
"36",2020-04-10,"Noon",1197.500416,47.24008
"36",2020-04-10,"Noon",1119.000576,517.5864
"36",2020-04-10,"Noon",1152,45.6996
"36",2020-04-10,"Noon",1285.500928,429.268
"36",2020-04-10,"Noon",1108.000768,518.6136
"36",2020-04-10,"Noon",1262.49984,133.5048
"36",2020-04-10,"Noon",1276.99968,281.3864
"36",2020-04-10,"Noon",1195.999232,153.0168
"36",2020-04-10,"Noon",1048.999936,309.628
"36",2020-04-10,"Noon",1185.499136,555.584
"37",2020-04-10,"Evening",1220.499456,40
"37",2020-04-10,"Evening",1306.499072,64.69136
"37",2020-04-10,"Evening",1328.500736,40.98768
"37",2020-04-10,"Evening",1250.500608,42.46912
"37",2020-04-10,"Evening",1350.500352,41.97528
"37",2020-04-10,"Evening",1247.000576,280.988
"38",2020-04-11,"Noon",1279.000576,334.8152
"38",2020-04-11,"Noon",1188.499456,53.8272
"38",2020-04-11,"Noon",1176.500224,66.1728
"38",2020-04-11,"Noon",1158.500352,69.6296
"38",2020-04-11,"Noon",1135.499264,49.38272
"38",2020-04-11,"Noon",1258.999808,369.3824
"38",2020-04-11,"Noon",1172.000768,124.4448
"38",2020-04-11,"Noon",1105.50016,541.2344
"38",2020-04-11,"Noon",1196.500992,461.2344
"39",2020-04-11,"Evening",1377.499136,53.33336
"39",2020-04-11,"Evening",1258.000384,171.3584
"39",2020-04-11,"Evening",1327.499264,163.9504
"40",2020-04-12,"Noon",1330.499584,114.8824
"40",2020-04-12,"Noon",1348.499456,117.4936
"40",2020-04-12,"Noon",1159.999488,299.2168
"41",2020-04-13,"Evening",1137.50016,134.3208
"42",2020-04-14,"Noon",1333.000192,272.0984
"42",2020-04-14,"Noon",1090.500608,153.58
"42",2020-04-14,"Noon",1079.5008,156.5432
"42",2020-04-14,"Noon",1260.500992,11.358
"42",2020-04-14,"Noon",1219.500032,11.85184
"42",2020-04-14,"Noon",1294.000128,207.9016
"42",2020-04-14,"Noon",1115.000832,507.6544
"42",2020-04-14,"Noon",1315.00032,294.8152
"42",2020-04-14,"Noon",1251.00032,67.16048
"42",2020-04-14,"Noon",1205.999616,88.8888
"42",2020-04-14,"Noon",1173.000192,420.7408
"42",2020-04-14,"Noon",854.499328,404.9384
"42",2020-04-14,"Noon",1249.499136,357.5312
"43",2020-04-14,"Noon",1294.49984,27.65432
"43",2020-04-14,"Noon",1826.500608,762.9632
"43",2020-04-14,"Noon",1069.000704,185.1848
"43",2020-04-14,"Noon",1312,304.1976
"43",2020-04-14,"Noon",1171.499008,15.80248
"43",2020-04-14,"Noon",1274.499072,29.6296
"43",2020-04-14,"Noon",1195.49952,32.0988
"43",2020-04-14,"Noon",1254.500352,26.66664
"43",2020-04-14,"Noon",1149.499392,439.012
"43",2020-04-14,"Noon",1238.499328,32.0988
"43",2020-04-14,"Noon",1291.999232,326.42
"43",2020-04-14,"Noon",1095.499776,544.6912
"43",2020-04-14,"Noon",1275.500544,242.4688
"43",2020-04-14,"Noon",856.999936,440
"43",2020-04-14,"Noon",1225.500672,390.6176
"43",2020-04-14,"Noon",1183.000576,113.58
"43",2020-04-14,"Noon",1229.000704,99.7528
"44",2020-04-14,"Evening",1364.000768,200
"44",2020-04-14,"Evening",1184.999424,307.1608
"44",2020-04-14,"Evening",1142.99904,561.4816
"44",2020-04-14,"Evening",1317.500928,76.04936
"44",2020-04-14,"Evening",1284.499456,90.864
"44",2020-04-14,"Evening",1048.999936,318.0248
"44",2020-04-14,"Evening",992,311.1112
"44",2020-04-14,"Evening",1109.499904,298.7656
"44",2020-04-14,"Evening",1068.500992,292.3456
"44",2020-04-14,"Evening",1148.000256,320.4936
"45",2020-04-15,"Noon",1344.999424,149.6296
"45",2020-04-15,"Noon",1335.5008,61.23456
"45",2020-04-15,"Noon",1273.499648,67.16048
"45",2020-04-15,"Noon",1221.500928,141.2344
"45",2020-04-15,"Noon",1312.999424,63.20984
"45",2020-04-15,"Noon",1220.499456,99.7528
"45",2020-04-15,"Noon",1277.999104,141.2344
"45",2020-04-15,"Noon",1152,408.3952
"45",2020-04-15,"Noon",1201.50016,145.6792
"45",2020-04-15,"Noon",1215.000576,270.6176
"45",2020-04-15,"Noon",859.500544,504.1976
"45",2020-04-15,"Noon",821.000192,498.7656
"46",2020-04-15,"Evening",1148.499968,19.25928
"46",2020-04-15,"Evening",1124.999168,70.61728
"46",2020-04-15,"Evening",1134.999552,151.6048
"46",2020-04-15,"Evening",1088.499712,159.5064
"46",2020-04-15,"Evening",1248.999424,162.9632
"46",2020-04-15,"Evening",1230.49984,134.8152
"46",2020-04-15,"Evening",1151.000576,156.5432
"46",2020-04-15,"Evening",1195.999232,161.4816
"47",2020-04-17,"Noon",1155.00032,254.8152
"47",2020-04-17,"Noon",1092.499456,85.432
"47",2020-04-17,"Noon",1188.499456,49.38272
"47",2020-04-17,"Noon",1133.500416,39.01232
"47",2020-04-17,"Noon",1252.499456,73.0864
"47",2020-04-17,"Noon",1151.000576,76.04936
"47",2020-04-17,"Noon",1128.4992,247.9016
"47",2020-04-17,"Noon",1216,27.65432
"47",2020-04-17,"Noon",1117.499392,81.9752
"47",2020-04-17,"Noon",1237.000192,26.17288
"47",2020-04-17,"Noon",1200.500736,76.5432
"47",2020-04-17,"Noon",1168.500736,72.59256
"48",2020-04-17,"Evening",1146.499072,83.4568
"48",2020-04-17,"Evening",1168.500736,83.9504
"48",2020-04-17,"Evening",1174.99904,28.14816
"48",2020-04-17,"Evening",1259.999232,33.0864
"48",2020-04-17,"Evening",1119.500288,290.3704
"48",2020-04-17,"Evening",1270.99904,82.9632
"48",2020-04-17,"Evening",1010.499584,453.3336
"49",2020-04-18,"Noon",1135.499264,28.642
"49",2020-04-18,"Noon",1116.99968,35.06176
"49",2020-04-18,"Noon",1123.00032,37.03704
"49",2020-04-18,"Noon",1116.99968,414.3208
"49",2020-04-18,"Noon",1191.999488,483.4568
"49",2020-04-18,"Noon",1161.500672,36.04936
"49",2020-04-18,"Noon",1148.499968,27.65432
"49",2020-04-18,"Noon",1095.999488,36.5432
"49",2020-04-18,"Noon",1129.500672,162.4688
"49",2020-04-18,"Noon",1173.999616,348.148
"49",2020-04-18,"Noon",1051.500544,140.7408
"49",2020-04-18,"Noon",1184,99.2592
"49",2020-04-18,"Noon",1138.999296,411.3584
"49",2020-04-18,"Noon",1200.500736,482.9632
"49",2020-04-18,"Noon",1119.500288,108.6416
"49",2020-04-18,"Noon",1147.500544,96.296
"49",2020-04-18,"Noon",1167.499264,428.148
"49",2020-04-18,"Noon",1179.500544,284.4448
"49",2020-04-18,"Noon",697.499648,538.7656
"49",2020-04-18,"Noon",1108.000768,541.7288
"49",2020-04-18,"Noon",1211.500544,257.284
"49",2020-04-18,"Noon",1038.999552,591.6048
"49",2020-04-18,"Noon",553.500672,553.0864
"50",2020-04-18,"Evening",1202.499584,96.296
"50",2020-04-18,"Evening",1140.000768,156.5432
"50",2020-04-18,"Evening",1229.000704,310.1232
"50",2020-04-18,"Evening",1274.499072,311.6048
"50",2020-04-18,"Evening",1223.499776,130.864
"50",2020-04-18,"Evening",903.499776,567.9016
"51",2020-04-19,"Noon",1888,759.012
"51",2020-04-19,"Noon",1132.500992,111.1112
"51",2020-04-19,"Noon",1156.499456,100.2472
"51",2020-04-19,"Noon",1097.500672,247.9016
"51",2020-04-19,"Noon",1237.999616,90.864
"52",2020-04-19,"Evening",1303.5008,30.7692
"52",2020-04-19,"Evening",1131.49952,250.3976
"52",2020-04-19,"Evening",1327.499264,28.11672
"53",2020-04-20,"Noon",868.999168,528.3952
"53",2020-04-20,"Noon",881.000448,553.58
"53",2020-04-20,"Noon",1356.500992,32.0988
"53",2020-04-20,"Noon",1337.499648,30.12344
"53",2020-04-20,"Noon",1326.49984,111.6048
"53",2020-04-20,"Noon",1420.500992,34.56792
"53",2020-04-20,"Noon",1383.499776,35.06176
"53",2020-04-20,"Noon",1304.000512,143.704
"54",2020-04-20,"Evening",847.998976,282.4688
"54",2020-04-20,"Evening",1218.500608,44.93824
"54",2020-04-20,"Evening",1290.000384,18.76544
"54",2020-04-20,"Evening",1314.000896,127.4072
"54",2020-04-20,"Evening",1413.500928,114.568
"54",2020-04-20,"Evening",1323.999232,76.5432
"54",2020-04-20,"Evening",1286.500352,302.2224
"55",2020-04-21,"Noon",1432.500224,73.0864
"55",2020-04-21,"Noon",1288.4992,157.5312
"55",2020-04-21,"Noon",1399.5008,36.5432
"55",2020-04-21,"Noon",1386.000384,21.23456
"55",2020-04-21,"Noon",1444.499456,50.86416
"55",2020-04-21,"Noon",1334.499328,43.4568
"55",2020-04-21,"Noon",1457.50016,76.04936
"55",2020-04-21,"Noon",1189.500928,383.2096
"55",2020-04-21,"Noon",1414.500352,74.07408
"55",2020-04-21,"Noon",1365.999616,101.2344
"55",2020-04-21,"Noon",1512.4992,543.2096
"55",2020-04-21,"Noon",1357.000704,575.3088
"56",2020-04-21,"Evening",1177.499648,43.08512
"56",2020-04-21,"Evening",1196.500992,78.19152
"56",2020-04-21,"Evening",1284.499456,60.1064
